config_path,sweep_axis,sweep_value,hypothesis,seed,stage,notes
experiments/configs/phase4/phase4x_sp-reversal_gm-undirected_wp1.yaml,phase4_stage1_factorial12,source_profile=reversal;graph_mode=undirected_contact;window_periods=1,seasonally_mixed_structure_expected,8101,exploration,single_patch=true;graph_mode=undirected_contact;window_periods=1;source_profile=reversal;stage1
experiments/configs/phase4/phase4x_sp-reversal_gm-undirected_wp2.yaml,phase4_stage1_factorial12,source_profile=reversal;graph_mode=undirected_contact;window_periods=2,seasonally_mixed_structure_expected,8102,exploration,single_patch=true;graph_mode=undirected_contact;window_periods=2;source_profile=reversal;stage1
experiments/configs/phase4/phase4x_sp-reversal_gm-directed_wp1.yaml,phase4_stage1_factorial12,source_profile=reversal;graph_mode=directed_influence;window_periods=1,directed_hierarchy_signal_expected,8103,exploration,single_patch=true;graph_mode=directed_influence;window_periods=1;source_profile=reversal;stage1
experiments/configs/phase4/phase4x_sp-reversal_gm-directed_wp2.yaml,phase4_stage1_factorial12,source_profile=reversal;graph_mode=directed_influence;window_periods=2,directed_hierarchy_signal_expected,8104,exploration,single_patch=true;graph_mode=directed_influence;window_periods=2;source_profile=reversal;stage1
experiments/configs/phase4/phase4x_sp-hierarchical_lock_gm-undirected_wp1.yaml,phase4_stage1_factorial12,source_profile=hierarchical_lock;graph_mode=undirected_contact;window_periods=1,tree_signature_expected,8105,exploration,single_patch=true;graph_mode=undirected_contact;window_periods=1;source_profile=hierarchical_lock;stage1
experiments/configs/phase4/phase4x_sp-hierarchical_lock_gm-undirected_wp2.yaml,phase4_stage1_factorial12,source_profile=hierarchical_lock;graph_mode=undirected_contact;window_periods=2,tree_signature_expected,8106,exploration,single_patch=true;graph_mode=undirected_contact;window_periods=2;source_profile=hierarchical_lock;stage1
experiments/configs/phase4/phase4x_sp-hierarchical_lock_gm-directed_wp1.yaml,phase4_stage1_factorial12,source_profile=hierarchical_lock;graph_mode=directed_influence;window_periods=1,strong_directed_hierarchy_signature_expected,8107,exploration,single_patch=true;graph_mode=directed_influence;window_periods=1;source_profile=hierarchical_lock;stage1
experiments/configs/phase4/phase4x_sp-hierarchical_lock_gm-directed_wp2.yaml,phase4_stage1_factorial12,source_profile=hierarchical_lock;graph_mode=directed_influence;window_periods=2,strong_directed_hierarchy_signature_expected,8108,exploration,single_patch=true;graph_mode=directed_influence;window_periods=2;source_profile=hierarchical_lock;stage1
experiments/configs/phase4/phase4x_sp-low_hierarchy_gm-undirected_wp1.yaml,phase4_stage1_factorial12,source_profile=low_hierarchy;graph_mode=undirected_contact;window_periods=1,diffuse_structure_expected,8109,exploration,single_patch=true;graph_mode=undirected_contact;window_periods=1;source_profile=low_hierarchy;stage1
experiments/configs/phase4/phase4x_sp-low_hierarchy_gm-undirected_wp2.yaml,phase4_stage1_factorial12,source_profile=low_hierarchy;graph_mode=undirected_contact;window_periods=2,diffuse_structure_expected,8110,exploration,single_patch=true;graph_mode=undirected_contact;window_periods=2;source_profile=low_hierarchy;stage1
experiments/configs/phase4/phase4x_sp-low_hierarchy_gm-directed_wp1.yaml,phase4_stage1_factorial12,source_profile=low_hierarchy;graph_mode=directed_influence;window_periods=1,weak_directed_signal_expected,8111,exploration,single_patch=true;graph_mode=directed_influence;window_periods=1;source_profile=low_hierarchy;stage1
experiments/configs/phase4/phase4x_sp-low_hierarchy_gm-directed_wp2.yaml,phase4_stage1_factorial12,source_profile=low_hierarchy;graph_mode=directed_influence;window_periods=2,weak_directed_signal_expected,8112,exploration,single_patch=true;graph_mode=directed_influence;window_periods=2;source_profile=low_hierarchy;stage1
